CDGAM;YEAR;NB_VEH_MANUFACTURED
XPO;1992;45
XPO;1993;1456
XPO;1994;55876
XPO;1995;132568
XPO;1996;178126
XPO;1997;155426
XPO;1998;189456
XPO;1999;89123
XPO;2000;25645
XPO;2001;56893
XPO;2002;5426
XPO;2003;326
XTG;2008;45896
XTG;2009;132945
XTG;2011;355965
XTG;2010;368945
XTG;2012;852031
XTG;2013;2540
XWS;2005;1945
XWS;2006;456
XWS;2007;345786
XWS;2008;210569
XWS;2009;199562
XWS;2010;54253
XWS;2011;4568
XBV;1997;358962
XBV;1998;126546
XBV;1999;389756
XBV;2000;45896
XBV;2001;45686
XBV;2002;278598
XBV;2003;345677
XBV;2004;123456
XBV;2005;12356
XBV;2006;475
